INTL_20160512_000001	副本、任務追加進場1次	인던,미션 1회 추가입장	
INTL_20171219_000077	右クリックで使用すると、サーバー内の全キャラクターに使用時点から15日間特典が適用されます。キャラクター情報ウィンドウで残り時間を確認することができます。{nl}[トークン効果]{nl} - 特性即時修練可能{nl} - マーケット販売手数料割引(30%{img white_right_arrow 16 16}10%){nl} - マーケット販売登録アイテム数10個{nl} - マーケット上/下限価関係なくアイテム登録可能{nl} - マーケット売上金即時受取{nl} - キャラクター移動速度+3アップ{nl} - モンスター討伐時、経験値+30%アップ{nl}(各種経験値ボーナス効果と重複可能){nl} - チーム倉庫利用可能{nl} - プレミアムジェスチャー使用可能{nl} - サルラス修道女院ミッション完了報酬+1{nl} - 個人取引15回可能{nl} - レイドダンジョン入場アイテム消費数-2	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 15일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 개인 거래 15회 가능{nl} - 레이드 던전 입장 아이템 소모 개수 -2	
INTL_20171226_000078	念願の碑石路ダンジョン(推奨レベル:180)に入場しますか？{nl}あなたとPTを組んでいるプレイヤーだけが一緒に入場できます。	염원의 비석로 (권장 레벨:180)에 입장하시겠습니까?{nl}당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.	
INTL_20171226_000079	衰退したルグィン家のダンジョン(推奨レベル:230)に入場しますか？{nl}あなたとPTを組んでいるプレイヤーだけが一緒に入場できます。	쇠락한 르귄가문의 저택 (권장 레벨:230)에 입장하시겠습니까?{nl}당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.	
INTL_20171226_000080	キャッスル地下ダンジョン(推奨レベル:300)に入場しますか？{nl}あなたとPTを組んでいるプレイヤーだけが一緒に入場できます。	캐슬 지하 (권장 레벨:300)에 입장하시겠습니까?{nl}당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.	
INTL_20171228_000081	右クリックで使用します。{nl} - コンパニオン交換券×7枚{nl} - x4経験の書×3個{nl} - 特性ポイント1,000(冒険日誌報酬)×1個{nl} - インスタンスダンジョン倍数トークン×3個{nl} - 300,000シルバー	마우스 우클릭으로 사용할 수 있습니다. 사용시 상자의 내용물을 획득할 수 있습니다.{nl} - 컴패니언 교환권 7장{nl} - x4 경험의 서 3개 {nl} - 특성 포인트 1,000(모험일지 보상) 1개 {nl} - 인스턴스 던전 배수 토큰 3개 {nl} - 실버 300,000 	
INTL_20180122_000082	スノウクリスタルキューブ（男）	2018 눈의 결정 큐브(남)	
INTL_20180122_000083	スノウクリスタルキューブ（女）	2018 눈의 결정 큐브(여)	
INTL_20180122_000084	スノウクリスタルキューブ（男）x10+1	2018 눈의 결정 큐브(남) x 10+1	
INTL_20180122_000085	スノウクリスタルキューブ（女）x10+1	2018 눈의 결정 큐브(여) x 10+1	
INTL_20180131_000086	有著甜甜的味道，可以讓腦袋清晰的巧克力。使用時在60分鐘經驗值增加50%。	달달한 맛으로, 뇌의 회전을 도와주는 초콜릿입니다. 사용 시, 1시간동안 경험치 획득량 +50% 효과를 얻습니다.	
INTL_20180205_000087	特性點數 100	특성 포인트 100	
INTL_20180207_000088	少女的心意	소녀의 마음	
INTL_20180207_000089	消滅怪物時經驗值獲得+50%	몬스터 처치 시 획득 경험치 +50%	
INTL_20180213_000090	冬季鑰匙	겨울 열쇠	
INTL_20180213_000091	可以在冬季企鵝活動中使用的鑰匙。{nl}(活動結束時統一刪除。)	마지막 겨울 이벤트에서 사용되는 열쇠입니다.{nl}(이벤트 종료 시 일괄 삭제됩니다.)	
INTL_20180213_000092	冰錐(14天)	고드름(14일)	
INTL_20180213_000093	冰錐的冰融化之後，裡面會有什麼呢?{nl}(冰錐只能在木柴周圍使用。)	고드름을 녹이면 무엇이 들어있을까요?{nl}(고드름은 장작 주위에서만 사용 가능합니다.)	
INTL_20180213_000094	金庫	금고	
INTL_20180213_000095	只要收集10把冬季鑰匙就送你「冬季企鵝」。{nl}(冬季鑰匙可以在冬季企鵝活動中獲得。)	Winter Key 10개를 모으시면 "윈터펭" 을 드립니다.{nl}(Winter Key는 2월 20일 이벤트에서 획득할 수 있습니다.)	금고
INTL_20180213_000096	正在進行冬季企鵝活動。{nl}參與活動可以得到冬季禮物和Buff，還有人見人愛的冬季企鵝。	마지막 겨울 이벤트가 진행 중입니다.{nl}마지막 겨울 선물과 버프는 물론, 신규 컴패니언 윈터펭도 만나보세요.	이벤트 알림판
INTL_20180213_000097	只要收集10把冬季鑰匙就送你「冬季企鵝」。{nl}(到活動佈告欄領取冬季企鵝活動的禮物吧!)	Winter Key 10개를 모으시면 "윈터펭" 을 드립니다.{nl}(이벤트 알림판에서 마지막 겨울 선물을 받으세요.)	금고
INTL_20180213_000098	使用冬季鑰匙可以獲得追加獎勵。{nl}(每個冬季鑰匙都有1次的追加獎勵。)	Winter Key로 추가 보상을 받을 수 있습니다.{nl}(Winter Key 1개당 1회의 추가 보상이 주어집니다.)	금고
INTL_20180213_000099	已存在的Buff。	이미 버프가 존재합니다.	이벤트 알림판
INTL_20180213_000100	太早了。	너무 이릅니다.	이벤트 알림판
INTL_20180213_000101	冬季企鵝活動	마지막 겨울 이벤트	
INTL_20180213_000102	獲得冬季企鵝活動BUFF	마지막 겨울 버프 받기	
INTL_20180213_000103	獲得冬季企鵝活動禮物	마지막 겨울 선물 받기	
INTL_20180220_000104	金剛キューブ(男)	금강 큐브(남)	
INTL_20180220_000105	金剛キューブ(女)	금강 큐브(여)	
INTL_20180220_000106	金剛キューブ(男)x10+1	금강 큐브(남) x10 + 1	
INTL_20180220_000107	金剛キューブ(女)x10+1	금강 큐브(여) x10 + 1	
INTL_20180323_000108	花葉	꽃잎	
INTL_20180323_000109	收集花葉好像會發生好事喔。	꽃잎을 모으면 좋은 일이 생길 것 같습니다.	
INTL_20180323_000110	サクラヘアピン	벚꽃 머리핀	
INTL_20180323_000111	三色団子ヘアピン	삼색 경단 머리핀	
INTL_20180323_000112	花路活動	꽃길 이벤트	
INTL_20180404_000113	スクールコレクションキューブ（男）	스쿨 컬렉션 큐브(남)	
INTL_20180404_000114	スクールコレクションキューブ（女）	스쿨 컬렉션 큐브(여)	
INTL_20180404_000115	スクールコレクションキューブ（男）x10+1	스쿨 컬렉션 큐브(남) x10+1	
INTL_20180404_000116	スクールコレクションキューブ（女）x10+1	스쿨 컬렉션 큐브(여) x10+1	
INTL_20180404_000117	桜の花びらが…ふわりと落ちてきた。面倒だしこのままでいいか。	벚꽃잎이 머리에.... 떨어졌다.. 귀찮다.. 그냥 두기로 하자..	
INTL_20180404_000118	「味ちがうのかな、すっごく楽しみ！」{nl}…誰かが楽しみに隠していた三色団子のようです。	어떤 색깔이 맛있을까요. 고르기만 하세요.. 모두 제 것 입니다.	
INTL_20180404_000119	大変良くできました	참 잘했어요 도장	
INTL_20180417_000120	祕密紅牛飲料	비밀 레드옥스	
INTL_20180417_000121	10分鐘內最大SP+1000、廣域攻擊比率+1、不會消耗耐力。	10분 동안 최대 SP +1000, 광역 공격 비율 +1, 스태미나가 소비되지 않습니다.	
INTL_20180417_000122	參與夜市活動中	야시장 참여 중	
INTL_20180417_000123	無法使用技能。{nl}10分鐘後移動至村莊。	스킬을 사용할 수 없습니다.{nl}10분 뒤 마을로 이동합니다.	
INTL_20180417_000124	使用時30分鐘內經驗值增加+30%和移動速度增加，最多可以疊加5次。	사용시 30분동안 중첩당 +30%와 이동속도가 증가합니다. 최대 5중첩까지 가능 합니다.	
INTL_20180417_000125	幸運餅乾(14天)	포춘 쿠키 (14일)	
INTL_20180417_000126	活動金幣	이벤트 금화	
INTL_20180417_000127	在夜市使用的金幣。{nl}(活動結束時統一刪除。)	야시장에서 사용되는 금화입니다.{nl}(이벤트 종료 시 일괄 삭제됩니다.)	
INTL_20180417_000128	讓你擁有紅牛般的體力，10分內最大 SP +1000、廣域攻擊比率+1、不會消耗耐力。{nl}(活動結束時統一刪除。)	황소같은 체력을 가질 수 있게 해줍니다. 10분 동안 최대 SP +1000, 광역 공격 비율 +1, 스태미나가 소비되지 않습니다.{nl}(이벤트 종료 시 일괄 삭제됩니다.)	
INTL_20180417_000129	上衣-祕密裝備選擇箱(14天)	상의-비밀 장비 선택 상자(14일)	
INTL_20180417_000130	這是可以選擇Lv 315獨特裝備的箱子。	Lv 315 유니크 장비를 선택할 수 있는 상자입니다.	
INTL_20180417_000131	褲子-祕密裝備選擇箱(14天)	하의-비밀 장비 선택 상자(14일)	
INTL_20180417_000132	手套-祕密裝備選擇箱(14天)	장갑-비밀 장비 선택 상자(14일)	
INTL_20180417_000133	鞋子-祕密裝備選擇箱(14天)	신발-비밀 장비 선택 상자(14일)	
INTL_20180417_000134	祕密製作書選箱(14天)	비밀 제작서 선택 상자(14일)	
INTL_20180417_000135	這是可以選擇Lv 315獨特製作書的箱子。	Lv 315 유니크 제작서를 선택할 수 있는 상자입니다.	
INTL_20180417_000136	艾布都查單手劍 [不可交易]	아브도챠 [거래 불가]	
INTL_20180417_000137	薩克米斯 [不可交易]	사크미스 [거래 불가]	
INTL_20180417_000138	斯寇史梅修 [不可交易]	스컬 스매셔 [거래 불가]	
INTL_20180417_000139	里加德角法杖 [不可交易]	리가드 혼 스태프 [거래 불가]	
INTL_20180417_000140	榮耀之心 [不可交易]	하트 오브 글로리 [거래 불가]	
INTL_20180417_000141	骷髏粉碎者 [不可交易]	스컬 브레이커 [거래 불가]	
INTL_20180417_000142	艾蒙加德匕首 [不可交易]	에멘가드 대거 [거래 불가]	
INTL_20180417_000143	云夏德矛槍 [不可交易]	윙샤드 스피어 [거래 불가]	
INTL_20180417_000144	里加德角長槍 [不可交易]	리가드 혼 파이크 [거래 불가]	
INTL_20180417_000145	黑色魂魄 [不可交易]	블랙 혼 [거래 불가]	
INTL_20180417_000146	里加德角十字弓 [不可交易]	리가드 혼 크로스보우 [거래 불가]	
INTL_20180417_000147	阿斯特拉弓 [不可交易]	아스트라 보우 [거래 불가]	
INTL_20180417_000148	亞斯帕娜左輪手槍 [不可交易]	아스파나 리볼버 [거래 불가]	
INTL_20180417_000149	艾蒙加德重砲 [不可交易]	에멘가드 캐논 [거래 불가]	
INTL_20180417_000150	艾蒙加德火槍 [不可交易]	에멘가드 머스킷 [거래 불가]	
INTL_20180417_000151	艾蒙加德之盾 [不可交易]	에멘가드 실드 [거래 불가]	
INTL_20180417_000152	普利摩斯奧西妮絲布甲 [不可交易]	프리머스 옥시니스 로브 [거래 불가]	
INTL_20180417_000153	普利摩斯喀爾烈皮革盔甲 [不可交易]	프리머스 카울라스 레더 아머 [거래 불가]	
INTL_20180417_000154	普利摩斯夸基爾思鋼鐵盔甲 [不可交易]	프리머스 크라이지어스 플레이트 아머 [거래 불가]	
INTL_20180417_000155	普利摩斯奧西妮絲短褲 [不可交易]	프리머스 옥시니스 팬츠 [거래 불가]	
INTL_20180417_000156	普利摩斯喀爾烈皮革短褲 [不可交易]	프리머스 카울라스 레더 팬츠 [거래 불가]	
INTL_20180417_000157	普利摩斯夸基爾思鋼鐵短褲 [不可交易]	프리머스 크라이지어스 플레이트 팬츠 [거래 불가]	
INTL_20180417_000158	普利摩斯奧西妮絲手套 [不可交易]	프리머스 옥시니스 글로브 [거래 불가]	
INTL_20180417_000159	普利摩斯喀爾烈皮革手套 [不可交易]	프리머스 카울라스 레더 글로브 [거래 불가]	
INTL_20180417_000160	普利摩斯夸基爾思護手套 [不可交易]	프리머스 크라이지어스 건틀릿 [거래 불가]	
INTL_20180417_000161	普利摩斯奧西妮絲靴子 [不可交易]	프리머스 옥시니스 부츠 [거래 불가]	
INTL_20180417_000162	普利摩斯喀爾烈皮革靴子 [不可交易]	프리머스 카울라스 레더 부츠 [거래 불가]	
INTL_20180417_000163	普利摩斯夸基爾思護脛靴 [不可交易]	프리머스 크라이지어스 그리브 [거래 불가]	
INTL_20180417_000164	祕密製作書-艾布都查單手劍	비밀 제작서-아브도챠	
INTL_20180417_000165	祕密製作書-薩克米斯	비밀 제작서-사크미스	
INTL_20180417_000166	祕密製作書-斯寇史梅修	비밀 제작서-스컬 스매셔	
INTL_20180417_000167	祕密製作書-里加德角法杖	비밀 제작서-리가드 혼 스태프	
INTL_20180417_000168	祕密製作書-榮耀之心	비밀 제작서-하트 오브 글로리	
INTL_20180417_000169	祕密製作書-骷髏粉碎者	비밀 제작서-스컬 브레이커	
INTL_20180417_000170	祕密製作書-艾蒙加德匕首	비밀 제작서-에멘가드 대거	
INTL_20180417_000171	祕密製作書-云夏德矛槍	비밀 제작서-윙샤드 스피어	
INTL_20180417_000172	祕密製作書-里加德角長槍	비밀 제작서-리가드 혼 파이크	
INTL_20180417_000173	祕密製作書-黑色魂魄	비밀 제작서-블랙 혼	
INTL_20180417_000174	祕密製作書-里加德角十字弓	비밀 제작서-리가드 혼 크로스보우	
INTL_20180417_000175	祕密製作書-阿斯特拉弓	비밀 제작서-아스트라 보우	
INTL_20180417_000176	祕密製作書-亞斯帕娜左輪手槍	비밀 제작서-아스파나 리볼버	
INTL_20180417_000177	祕密製作書-艾蒙加德火槍	비밀 제작서-에멘가드 머스킷	
INTL_20180417_000178	祕密製作書-艾蒙加德重砲	비밀 제작서-에멘가드 캐논	
INTL_20180417_000179	祕密製作書-艾蒙加德之盾	비밀 제작서-에멘가드 실드	
INTL_20180417_000180	警戒的男子	경계하는 남자	
INTL_20180417_000181	謝謝你願意留在村子裡。{nl}可是啊…您來到這麼簡陋的地方有什麼事嗎?{nl}那個…如果沒有...{nl}要緊事勸您還是離開這裡吧!	마을에 머물게 해주셔서 감사합니다.{nl}헌데.. 이렇게 누추한 곳까지 어쩐 일이신가요?{nl}제게.. 볼 일이라도...?{nl}없다면 돌아가 주시길 부탁드립니다.	경계하는 남자
INTL_20180417_000182	我知道…無法全部進去。	알고 있다고.. 모두가 들어갈 수는 없습니다.	경계하는 남자
INTL_20180417_000183	哈哈哈…您太客氣了!雖然不是我想要的…但我還收下了…{nl}那個…您要進來看看嗎?	하하하.. 뭐 이런 걸.. 원한 건 아닙니다만..{nl}자.. 들어가 보겠습니까?	경계하는 남자
INTL_20180417_000184	沒事的話還是請回吧!	볼 일 없으면 그만 돌아가 주시길 부탁드립니다.	경계하는 남자
INTL_20180417_000185	夜市管理員	야시장 관리인	
INTL_20180417_000186	有想買的物品嗎?{nl}希望你有好運氣，想要的物品沒被賣掉下次還可以看見…	마음에 드는 물건은 있었나?{nl}운이 좋으면 다음에 또 볼 수 있기를 바라지...	야시장 관리인
INTL_20180417_000187	您展開冒險的時間看來並不長…{nl}來這還太早了。	당신은 모험을 시작한 지 얼마 되지 않아 보이는군요.{nl}아직 이곳에 오기에 이릅니다.	경계하는 남자
INTL_20180417_000188	選擇裝備	장비 선택	
INTL_20180417_000189	知道秘密夜市的事。	비밀 야시장에 대해 알고 있다.	
INTL_20180417_000190	轉交塔特10個。	탈트 10개를 건네준다.	
INTL_20180417_000191	進入秘密夜市。	비밀 야시장으로 들어간다.	
INTL_20180417_000192	離開秘密夜市。	비밀 야시장을 나간다.	
INTL_20180419_000193	活動BUFF	이벤트 버프	
INTL_20180420_000194	右クリックで使用します。{nl} - アルマジロ専用コンパニオン交換券×12枚{nl} - x4経験の書×3個{nl} - 特性ポイント1,000(冒険日誌報酬)×2個{nl} - インスタンスダンジョン倍数トークン×3個{nl} - 500,000シルバー	마우스 우클릭으로 사용할 수 있습니다. 사용시 상자의 내용물을 획득할 수 있습니다.{nl} - 아르마딜로 컴패니언 교환권 12장{nl} - x4 경험의 서 3개 {nl} - 특성 포인트 1,000(모험일지 보상) 2개 {nl} - 인스턴스 던전 배수 토큰 3개 {nl} - 실버 500,000 	
INTL_20180420_000195	右クリックで使用します。{nl} - アルマジロ専用コンパニオン交換券×7枚{nl} - x4経験の書×3個{nl} - 特性ポイント1,000(冒険日誌報酬)×1個{nl} - インスタンスダンジョン倍数トークン×3個{nl} - 300,000シルバー	마우스 우클릭으로 사용할 수 있습니다. 사용시 상자의 내용물을 획득할 수 있습니다.{nl} - 아르마딜로 컴패니언 교환권 7장{nl} - x4 경험의 서 3개 {nl} - 특성 포인트 1,000(모험일지 보상) 1개 {nl} - 인스턴스 던전 배수 토큰 3개 {nl} - 실버 300,000 	
INTL_20180420_000196	右クリックで使用します。{nl} - アルマジロ専用コンパニオン交換券×5枚{nl} - x4経験の書×2個{nl} - 特性ポイント500(冒険日誌報酬)×1個{nl} - インスタンスダンジョン倍数トークン×2個{nl} - 200,000シルバー	마우스 우클릭으로 사용할 수 있습니다. 사용시 상자의 내용물을 획득할 수 있습니다.{nl} - 아르마딜로 컴패니언 교환권 5장{nl} - x4 경험의 서 2개 {nl} - 특성 포인트 500(모험일지 보상) 1개 {nl} - 인스턴스 던전 배수 토큰 2개 {nl} - 실버 200,000 	
INTL_20180420_000197	右クリックで使用します。{nl} - アルマジロ専用コンパニオン交換券×4枚{nl} - x4経験の書×1個{nl} - 特性ポイント100(冒険日誌報酬)×3個{nl} - 100,000シルバー	마우스 우클릭으로 사용할 수 있습니다. 사용시 상자의 내용물을 획득할 수 있습니다.{nl} - 아르마딜로 컴패니언 교환권 4장{nl} - x4 경험의 서 1개 {nl} - 특성 포인트 100(모험일지 보상) 3개 {nl} - 실버 100,000 	
INTL_20180420_000198	農民キューブ(男)	그 봄날의 시골 큐브(남)	
INTL_20180420_000199	農民キューブ(女)	그 봄날의 시골 큐브(여)	
INTL_20180420_000200	農民キューブ(男)x10+1	그 봄날의 시골 큐브(남) x10+1	
INTL_20180420_000201	農民キューブ(女)x10+1	그 봄날의 시골 큐브(여) x10+1	
INTL_20180621_000202	2018キックオフキューブ(男)	2018 킥오프 큐브(남)	
INTL_20180621_000203	2018キックオフキューブ(女)	2018 킥오프 큐브(여)	
INTL_20180621_000204	2018キックオフキューブ(男)x10+1	2018 킥오프 큐브(남) x10+1	
INTL_20180621_000205	2018キックオフキューブ(女)x10+1	2018 킥오프 큐브(여) x10+1	
INTL_20180814_000206	ペンギンの健康を担うエサ。ペンギンのHPを全て回復し、スタミナが+15回復します。{nl}食べられるコンパニオン{nl} - ペンギン{nl} - ウィンターペンギン{nl} - ペングリン{nl} - ペンマリン	펭귄의 건강을 책임지는 먹이입니다. 펭귄의 HP를 모두 회복하고 스태미나가 +15 회복됩니다.{nl}사용가능 목록{nl} - 펭귄{nl} - 윈터펭{nl} - 펭그린	
INTL_20180814_000207	2018マリンキューブ(男)	2018 마린 큐브(남자)	
INTL_20180814_000208	2018マリンキューブ(女)	2018 마린 큐브(여자)	
INTL_20180814_000209	2018マリンキューブ(男)x10+1	2018 마린 큐브(남자) x10+1	
INTL_20180814_000210	2018マリンキューブ(女)x10+1	2018 마린 큐브(여자) x10+1	
INTL_20180821_000211	チェックメイトキューブ(男)	체스 큐브(남자)	
INTL_20180821_000212	チェックメイトキューブ(女)	체스 큐브(여자)	
INTL_20180821_000213	チェックメイトキューブ(男)x10+1	체스 큐브(남자) x10+1	
INTL_20180821_000214	チェックメイトキューブ(女)x10+1	체스 큐브(여자) x10+1	
INTL_20180928_000215	{img Collar_Brush 20 20}第2回イラストコンテスト挑戦者	{img Collar_Brush 20 20}제2회 일러스트 콘테스트 도전자	
INTL_20180928_000216	第2回イラストコンテストに応募した啓示者に支給される称号。	제2회 일러스트 콘테스트에 응모한 계시자에게 지급되는 칭호.	
INTL_20180928_000217	第2回イラストコンテスト挑戦者	제2회 일러스트 콘테스트 도전자	
INTL_20180928_000218	分享慶典用爆竹的力量。	기념을 축하하는 폭죽의 힘이 공유되고 있습니다.	
INTL_20180928_000219	お月見キューブ(男)	달구경 큐브(남자)	
INTL_20180928_000220	お月見キューブ(女)	달구경 큐브(여자)	
INTL_20180928_000221	お月見キューブ(男)x10+1	달구경 큐브(남자) x10+1	
INTL_20180928_000222	お月見キューブ(女)x10+1	달구경 큐브(여자) x10+1	
INTL_20180928_000223	2週年紀念活動道具。{nl}30分內給予組隊全員移動速度+4、廣域攻擊比率+1、經驗值增加25%的效果。	2주년 이벤트 아이템입니다.{nl} 30분간 파티원 전체의 이동속도 +4, 광역 공격 비율 +1 경험치 25% 증가의 효과를 줍니다.	
INTL_20180928_000224	大師名冊	마스터 명단 리스트	
INTL_20180928_000225	記錄著持有邀請函的大師名單。{nl}(使時可以確認活動進行狀況。)	초대장을 가진 마스터들의 명단을 기록하고 있습니다.{nl}(사용 시 이벤트 진행 상황을 확인할 수 있습니다.)	
INTL_20180928_000226	活動傳送卷軸 - 2週年活動開始	이벤트 워프 주문서 - 2주년 이벤트 시작	
INTL_20180928_000227	活動用傳送卷軸。{nl}使用後會移動到2週年活動小幫手npc旁邊。	이벤트용 워프 주문서입니다.{nl}사용 시 2주년 이벤트 도우미 npc 앞으로 이동합니다.	
INTL_20180928_000228	称号 - 第2回イラストコンテスト挑戦者	칭호 - 제2회 일러스트 콘테스트 도전자	
INTL_20180928_000229	第2回イラストコンテストに応募した啓示者に支給される称号です。 マウス右側クリックで使います。	제2회 일러스트 콘테스트에 응모한 계시자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.	
INTL_20180928_000230	2018イラストコンテスト限定キューブ	2018 일러스트 콘테스트 한정 큐브	
INTL_20180928_000231	2018フェディミアン守護キューブ	2018 페디미안 수호 큐브	
INTL_20180928_000232	2週年臂環	스팀 2주년 암밴드	
INTL_20180928_000233	為紀念2週年而製作的臂環。	스팀 2주년을 기념하여 제작된 암밴드 입니다.	
INTL_20180928_000234	髪飾りです。右クリックで装着できます。{nl}リサイクルショップでメダルと交換できます。	머리장식입니다. 우클릭으로 장비할 수 있습니다. {nl}리사이클 샵에서 메달로 교환할 수 있습니다.	
INTL_20180928_000235	應邀者大師	초대에 응한 마스터	
INTL_20180928_000236	您今天已經確認過了…	오늘은 이미 확인하신 것 같은데요..?	초대에 응한 마스터
INTL_20180928_000237	今天天氣真好。	오늘은 날씨가 좋네요..	초대에 응한 마스터
INTL_20180928_000238	祝救世者之樹2週年快樂！！！{nl}今天所有的大師們都會齊聚一堂！{nl}聽說，正在確認救援者是否讓所有大師齊聚了？{nl}這個…小小意思不成敬意。	트리 오브 세이비어 2주년을 축하합니다!!!{nl}오늘은 모든 마스터들이 한자리에 모이는 날입니다!{nl}이야기는 들었습니다. 구원자님께서 마스터들이 모두 모였는지 확인 중이시라면서요..?{nl}여기.. 작은 선물입니다.	초대에 응한 마스터
INTL_20180928_000239	2週年活動小幫手	2주년 이벤트 도우미	
INTL_20180928_000240	請先使用「活動傳送卷軸 - 2週年活動開始」道具。{nl}[獲得方法]{nl}可以從TOS - Second Anniversary Present DLC中免費獲得。{nl}(發送至小屋信箱。)	이벤트 워프 주문서 - 2주년 이벤트 시작 아이템을 먼저 사용해주세요.{nl}[획득 방법]{nl}TOS - Second Anniversary Present DLC에서 무료로 받을 수 있습니다.{nl}(최초 GM 메시지함으로 지급됩니다.)	초대에 응한 마스터
INTL_20180928_000241	歡迎來到救世者之樹2週年活動。{nl}- 已發送應邀者套裝。{nl}(請使用大師名冊，進行2週年活動。)	트리 오브 세이비어 2주년에 오신 것을 환영합니다.{nl}- 초대에 응한 자 코스튬이 지급되었습니다.{nl}(마스터 명단 리스트를 사용해서 2주년 이벤트를 진행하세요.)	2주년 이벤트 도우미
INTL_20180928_000242	活動傳送卷軸	이벤트 워프 주문서	
INTL_20180928_000243	使用道具後，會移動至活動開始npc旁邊。{nl}您要使用嗎？	아이템 사용 시 이벤트 시작 npc로 이동합니다.{nl}사용하시겠습니까?	이벤트 워프 주문서
INTL_20180928_000244	每日出席打卡活動	매일매일 출석체크 이벤트	
INTL_20180928_000245	 {nl}已獲得第{COUNT}天獎勵。{nl}明天見~	 {nl}{COUNT}일차 보상을 받았습니다.{nl}내일 또 오세요~	
INTL_20180928_000246	領取2週年活動 - 大師名冊	2주년 이벤트 - 마스터 명단 리스트 받기	
INTL_20180928_000247	活動進行狀況：{COUNT}/55{nl}要確認今天邀請函的大師是{nl}{JOB}大師。	이벤트 진행 상황 : {COUNT}/55{nl}오늘의 초대장을 확인할 마스터는{nl}{JOB} 마스터입니다.	
INTL_20180928_000248	活動進行狀況：{COUNT}/55{nl}已確認今天的邀請函。	이벤트 진행 상황 : {COUNT}/55{nl}오늘의 초대장은 이미 확인했습니다.	
INTL_20180928_000249	Mongo DB上是否會使用特定系統訊息儲存/log功能	몽고 db에 특정 시스템 메시지 저장/로드 기능 사용할 것인지	
INTL_20181016_000250	---	피리 연주 사용 가능	
INTL_20181022_000251	2018ハロウィーンキューブ(男)	2018 할로윈 큐브(남자)	
INTL_20181022_000252	2018ハロウィーンキューブ(女)	2018 할로윈 큐브(여자)	
INTL_20181022_000253	2018ハロウィーンキューブ(男)x10+1	2018 할로윈 큐브(남자) x10+1	
INTL_20181022_000254	2018ハロウィーンキューブ(女)x10+1	2018 할로윈 큐브(여자) x10+1	
INTL_20181115_000255	サポ生キューブ	서포트 생방송 큐브	
INTL_20181129_000256	いつまでも幸せに暮らしましたとさ	Happy Ever After 수상자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.	
INTL_20181129_000257	この素晴らしき世界	Wonderful ToS life 수상자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.	
