QUEST_LV_0500_20190513_000001	Eu preferiria ter alguém para fazer isso,{nl}caso seja algo absolutamente necessário.{nl}Por que tem que ser eu?	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.	케도라 상단원 이네타
QUEST_LV_0500_20190513_000002	Os demônios e os monstros ainda estão em grande número...{nl}Pelo menos não precisamos nos preocupar com roubos.{nl}Isso se conseguirmos sair dessa vivos.	몬스터와 마족들이 득실거리니..{nl}적어도 강도를 만날 걱정은 안 해도 되겠어.{nl}살아서 돌아갈 수 있다면 말이지.	케도라 상단원 타다스
QUEST_LV_0500_20190513_000003	Você patrulha alguns dias e tem que fazer um relatório enorme!{nl}Será que podemos fazer algo de concreto nesse estado?	정찰하는 데 며칠, 보고하는 데 또 며칠!{nl}이러면 일은 언제 끝낼 생각인 거지?	바바리안 볼케
QUEST_LV_0500_20190513_000004	Estou aqui para ajudar Tadas.{nl}Não vim pra limpar a bagunça do Wolke.	전 타다스님을 도우러 온 것이지.{nl}볼케님이 사고 치는 걸 처리하러 온 게 아닙니다.	케도라 상단원 니르기
QUEST_LV_0500_20190513_000005	Eu enganei cartas e previni que ele roubasse a Semente da Árvore Divina.{nl}Se eu puder me libertar destes selos, poderia me recuperar por mim mesma.	카르타스의 눈을 속여 신수의 씨앗을 빼앗기지 않았어요.{nl}이 속박을 풀어낸다면 씨앗의 능력으로 힘을 다시 회복할 수 있을 거예요.	여신 메데이나
QUEST_LV_0500_20190513_000006	Por que Kartas iria tão longe a ponto de me manter presa nesta barreira...{nl}Será que conhece de fato as propriedades desta semente...?	카르타스가 이 숲에 거대한 결계를 펼치면서까지 저를 쫓는 이유가 무엇일까요..{nl}정말 이 씨앗의 존재를 알고 있는 걸까요?	여신 메데이나
QUEST_LV_0500_20190513_000007	Vou procurar a senhorita Neringa assim que eu melhorar.{nl}Tenho certeza que ela saberá como resgatar a Mestre Medeina do Kartas.	저는 몸을 추스리는대로 네링가님을 찾아가 보려 해요.{nl}네링가님이라면 분명 카르타스로부터 메데이나님을 구할 방법을 알고 계실 거에요.	큐폴 아스트라
QUEST_LV_0500_20190513_000008	Revelador!{nl}Tem uma barreira maligna ao redor da floresta, o local é perigoso!{nl}Por favor, você precisa sair o quanto antes!	아! 계시자님! 이 숲에는 사악한 결계가 펼쳐져 있어서 들어오시면 위험해요!{nl}어서 벗어나세요!	큐폴 아스트라
QUEST_LV_0500_20190513_000009	Estamos presas dentro da barreira posta pelo Kartas,{nl}sem contar que os poderes da Mestre Medeina não são suficientes para quebrá-la.{nl}Precisamos ajudar a Deusa a recuperar a sua força...	카르타스가 숲 일대에 펼친 결계 때문에 지금 메데이나님의 힘으로는 이곳을 벗어날 수 없어요.{nl}메데이나님이 어서 기운을 차리시고 회복하셔야 할 텐데..	큐폴 일로나
QUEST_LV_0500_20190513_000010	Se o Kartas nos encontrar, estaremos em grande perigo.{nl}Por favor, ajude a Mestre Medeina a se recuperar!	카르타스가 이곳을 발견하면 큰일이에요.{nl}메데이나님이 회복할 수 있도록 계시자님께서 도와주세요.	큐폴 일로나
QUEST_LV_0500_20190513_000011	Fico feliz que a Ilona está a salvo, apesar da barreira.{nl}Revelador, por favor ache um jeito de desativar a barreira.	속박의 결계에 걸리긴 했지만.. 그래도 일로나가 무사해서 다행이에요.{nl}계시자님. 결계를 해제할만한 방법이 있을지 찾아봐 주세요.	큐폴 율리아
QUEST_LV_0500_20190513_000012	Vá cmoa Ilona e encontre a Mestre Medeina!	어서 일로나와 함께 메데이나님을 찾으러 가 봐요.	큐폴 율리아
QUEST_LV_0500_20190513_000013	As pegadas dela terminam aqui.{nl}Devemos olhar dentro deste local?	메데이나님의 흔적이 이 앞에서 끊겼으니 이 안뜰 안쪽을 확인해보는 게 어떨까요?	큐폴 율리아
QUEST_LV_0500_20190513_000014	Ah, estou tão feliz que a Mestre Medeina está bem!{nl}Aquele círculo mágico de teleporte precisa ser destruído...	메데이나님이 무사하셔서 다행이에요!{nl}그보다 메데이나님에게 펼쳐진 마계 이동 마법진을 파훼해야 할텐데..	큐폴 율리아
QUEST_LV_0500_20190513_000015	Revelador, por favor destrua o círculo mágico.{nl}Esta deve ser a nossa única chance, enquanto o Kartas não está.	계시자님! 메데이나님에게 펼쳐진 마계 이동 마법진을 없애주세요.{nl}카르타스가 없는 지금이 기회에요.	큐폴 일로나
QUEST_LV_0500_20190513_000016	A barreira da Mestre Medeina está finalmente desfeita!{nl}Devemos nos apressar agora...	계시자님 덕분에 메데이나님이 결계를 풀어낼 수 있었네요.{nl}어서 이곳을 벗어나야 할 텐데..	큐폴 일로나
QUEST_LV_0500_20190513_000017	Sobrecarregar o segundo círculo mágico funcionou!	보조 마법진에 마력을 과부하 되게 주입하는 게 효과가 있었네요.	큐폴 율리아
QUEST_LV_0500_20190513_000018	Ah... Mestre Medeina...	아.. 저희 때문에 메데이나님이..	큐폴 율리아
QUEST_LV_0500_20190513_000019	Ela...	메데이나님..	큐폴 일로나
QUEST_LV_0500_20190513_000020	Não pude impedir...	제가 너무 늦었어요..	큐폴 아스트라
QUEST_LV_0500_20190513_000021	Apesar da Mestre Medeina ter sido levada pelo Kartas...{nl}A sua ajuda será sempre lembrada, Revelador.{nl}	비록 메데이나님이 카르타스에게 붙잡혀 가셨지만..{nl}저희는 계시자님께서 메데이나님을 찾는 일에 적극적으로 도와주신 것을 기억하고 있어요.{nl}	큐폴 아스트라
QUEST_LV_0500_20200128_000022	等你準備好面對吉特涅時再來找我。{nl}	당신이 길티네에게 맞설 준비가 된다면 그때 저를 다시 찾아오십시오.{nl}	여신 라이마
QUEST_LV_0500_20200128_000023	完全沒料想到會在這裡碰見魔神羅迦娜和魔王巴以卡。	마신 라가나와 마왕 바이가를 여기서 마주칠 거라고는 전혀 예상하지 못했습니다.	여신 아우스테야
QUEST_LV_0500_20200128_000024	和巴以卡談話的時候最好要小心。	바이가와 이야기할 때는 조심하시는 게 좋겠어요.	여신 아우스테야
QUEST_LV_0500_20200128_000025	在你對付啟示者時，我會一個人在這裡找神樹的樹根。	일단은 계시자님이 바이가를 상대하는 동안 저 혼자서라도 이곳에서 신수의 뿌리를 찾아볼게요.	여신 아우스테야
QUEST_LV_0500_20200128_000026	還有，你要小心巴以卡。{nl}不能完全相信他。	그리고 바이가를 조심하세요.{nl}그를 온전히 믿어서는 안 됩니다.	여신 아우스테야
QUEST_LV_0500_20200128_000027	原來你平安無事。{nl}這一帶我都看過了…找不到神樹的樹根。	무사하셨군요.{nl}이 지역을 모두 확인해 봤지만.. 신수의 뿌리는 찾을 수 없었어요.	여신 아우스테야
QUEST_LV_0500_20200128_000028	梅德依那的情況非常危急。{nl}無法想像她這段時間因為卡魯塔斯受到了多大的折磨。	메데이나님의 상태가 많이 위독해요.{nl}그동안 카르타스에게 얼마나 끔찍한 고통을 받았는지 감히 상상도 할 수 없을 것 같아요.	큐폴
QUEST_LV_0500_20200128_000029	絕對無法原諒卡魯塔斯…{nl}一定要讓他得到淒慘的下場。	카르타스를 절대 용서할 수 없어요..{nl}그는 반드시 비참한 최후를 맞이하게 될 겁니다.	큐폴
QUEST_LV_0500_20200128_000030	Defeat the Nuka Warrior, Nuo Assassin	누카 전사, 누오 암살자 처치	
QUEST_LV_0500_20200128_000031	On the request of Receptionist Ramda of the Mercenary Post{nl}defeat the Nuka Warrior and Nuo Assassin in Tvirtumas Fortress.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 누카 전사, 누오 암살자 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000032	Defeat the Akhlass Petal Warrior	아클라스 페탈 전사 처치	
QUEST_LV_0500_20200128_000033	On the request of Receptionist Ramda of the Mercenary Post{nl}defeat the Akhlass Petal Warrior in Tvirtumas Fortress.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 아클라스 페탈 전사 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000034	Defeat the Living Armor	리빙 아머 처치	
QUEST_LV_0500_20200128_000035	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Living Armor in Tvirtumas Fortress.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 리빙 아머 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000036	Defeat the Ilgaranka	일가란카 처치	
QUEST_LV_0500_20200128_000037	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Ilgaranka in Tvirtumas Fortress.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 일가란카 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000038	Defeat the Bloguz Goblin Rider, Necko	블로거즈 고블린 라이더, 넥코 처치	
QUEST_LV_0500_20200128_000039	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Bloguz Goblin Rider and Necko at the Outskirts of Skalda.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 블로거즈 고블린 라이더, 넥코 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000040	Grey Wolf	그레이 울프 처치	
QUEST_LV_0500_20200128_000041	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Grey Wolf at the Outskirts of Skalda.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 그레이 울프 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000042	Defeat the Bloguz Goblin Archer	블로거즈 고블린 궁수 처치	
QUEST_LV_0500_20200128_000043	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Bloguz Goblin Aarcher at the Outskirts of Skalda.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 블로거즈 고블린 궁수 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000044	Defeat the Grey Wolf Chief	그레이 울프 치프 처치	
QUEST_LV_0500_20200128_000045	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Grey Wolf Chief at the Outskirts of Skalda.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 그레이 울프 치프 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000046	Defeat the Orc Spearman	오크 살수병 처치	
QUEST_LV_0500_20200128_000047	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Orc Spearman at the Rinksmas Ruins.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 살수병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000048	Defeat the Orc Shaman	오크 주술사 처치	
QUEST_LV_0500_20200128_000049	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Orc Shaman at the Rinksmas Ruins.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 주술사 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000050	Defeat the Orc Peltast	오크 방패병 처치	
QUEST_LV_0500_20200128_000051	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Orc Peltast at the Rinksmas Ruins.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 방패병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000052	Defeat the Orc Leader	오크 리더 처치	
QUEST_LV_0500_20200128_000053	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Orc Leader at the Rinksmas Ruins.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 오크 리더 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000054	Defeat the monsters at Rinksmas Ruins	링크스마스 폐허의 몬스터 처치	
QUEST_LV_0500_20200128_000055	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat monsters at the Rinksmas Ruins.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}링크스마스 폐허에서 충분한 수의 몬스터 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000056	Defeat the Orc Cannoneer	오크 캐논병 처치	
QUEST_LV_0500_20200128_000057	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Orc Cannoneer at the Road of Demise.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 오크 캐논병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000058	Defeat the Orc Flagbearer	오크 깃발병 처치	
QUEST_LV_0500_20200128_000059	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Orc Flagbearer at the Road of Demise.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 오크 깃발병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000060	Defeat the Orc Captain	오크 대장 처치	
QUEST_LV_0500_20200128_000061	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Orc Captain at the Road of Demise.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 오크 대장 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000062	Defeat Monsters at the Road of Demise	종언의 길의 몬스터 처치	
QUEST_LV_0500_20200128_000063	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the monsters at the Road of Demise.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}종언의 길에서 충분한 수의 몬스터 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000064	On the request of Receptionist Ramda of the Mercenary Post defeat the Nuka Warrior and Nuo Assassin in Tvirtumas Fortress.	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 누카 전사, 누오 암살자 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000065	On the request of Receptionist Ramda of the Mercenary Post defeat the Akhlass Petal Warrior in Tvirtumas Fortress.	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 아클라스 페탈 전사 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000066	On the request of Receptionist Ramda of the Mercenary Post defeat the Living Armor in Tvirtumas Fortress.	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 리빙 아머 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000067	On the request of Receptionist Ramda of the Mercenary Post defeat the Ilgaranka in Tvirtumas Fortress.	클라페다 의뢰소의 접수원 람다의 의뢰로 트비르투마스 요새에서 일가란카 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000068	On the request of Receptionist Ramda of the Mercenary Post defeat the Bloguz Goblin Rider and Necko at the Outskirts of Skalda.	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 블로거즈 고블린 라이더, 넥코 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000069	On the request of Receptionist Ramda of the Mercenary Post defeat the Grey Wolf at the Outskirts of Skalda.	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 그레이 울프 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000070	On the request of Receptionist Ramda of the Mercenary Post defeat the Bloguz Goblin Archer at the Outskirts of Skalda.	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 블로거즈 고블린 궁수 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000071	On the request of Receptionist Ramda of the Mercenary Post defeat the Grey Wolf Chief at the Outskirts of Skalda.	클라페다 의뢰소의 접수원 람다의 의뢰로 스칼다 외곽에서 그레이 울프 치프 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000072	On the request of Receptionist Ramda of the Mercenary Post defeat the Orc Spearman at the Rinksmas Ruins.	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 오크 살수병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000073	On the request of Receptionist Ramda of the Mercenary Post defeat the Orc Shaman at the Rinksmas Ruins.	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 오크 주술사 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000074	On the request of Receptionist Ramda of the Mercenary Post defeat the Orc Peltast at the Rinksmas Ruins.	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 오크 방패병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000075	On the request of Receptionist Ramda of the Mercenary Post defeat the Orc Leader at the Rinksmas Ruins.	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 오크 리더 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000076	On the request of Receptionist Ramda of the Mercenary Post defeat monsters at the Rinksmas Ruins.	클라페다 의뢰소의 접수원 람다의 의뢰로 링크스마스 폐허에서 충분한 수의 몬스터 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000077	On the request of Receptionist Ramda of the Mercenary Post defeat the Orc Cannoneer at the Road of Demise.	클라페다 의뢰소의 접수원 람다의 의뢰로 종언의 길에서 오크 캐논병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000078	On the request of Receptionist Ramda of the Mercenary Post defeat the Orc Flagbearer at the Road of Demise.	클라페다 의뢰소의 접수원 람다의 의뢰로 종언의 길에서 오크 깃발병 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000079	On the request of Receptionist Ramda of the Mercenary Post defeat the Orc Captain at the Road of Demise.	클라페다 의뢰소의 접수원 람다의 의뢰로 종언의 길에서 오크 대장 처치를 수행해야 합니다.	
QUEST_LV_0500_20200128_000080	On the request of Receptionist Ramda of the Mercenary Post defeat the monsters at the Road of Demise.	클라페다 의뢰소의 접수원 람다의 의뢰로 종언의 길에서 충분한 수의 몬스터 처치를 수행해야 합니다.	
QUEST_LV_0500_20200324_000081	Wait, could it be...are you the Revelator?	잠시만요, 혹시 계시자인가요?	세이지 파견원
QUEST_LV_0500_20200324_000082	We are in grave danger.{nl}Ever since Medzio Diena, the dimension started collapsing from time to time.	큰일입니다.{nl}신수의 날 이후로 종종 차원이 붕괴하는 현상이 나타나고 있어요.{nl}	세이지 파견원
QUEST_LV_0500_20200324_000083	The monsters nearby accelerate the collapse.{nl}This will spread to the whole continent if not prevented beforehand.{nl} I need the help of the Revelator as it is a matter beyond my power.{nl} Please, lend me a hand.	더군다나 근처의 몬스터들이 붕괴를 가속하고 있죠.{nl}막지 않으면 차원 붕괴가 대륙 전역으로 번질 거예요.{nl}저 혼자서는 벅찬일이라 계시자들에게 도움을 구하고 있습니다.{nl}이렇게 부탁드립니다.	세이지 파견원
QUEST_LV_0500_20200324_000084	Be careful not to get swept into the dimensional collapse.{nl} It would be wise to approach when you're fully prepared.  	차원 붕괴에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}준비가 충분하지 않으면 가까이 가지 않는 게 좋습니다.	세이지 파견원
QUEST_LV_0500_20200324_000085	Prevent the dimension from collapsing	차원 붕괴 저지	
QUEST_LV_0500_20200324_000086	That's correct.	계시자가 맞다고 한다.	
QUEST_LV_0500_20200324_000087	Not really.	계시자가 아니라고 한다.	
QUEST_LV_0500_20200324_000088	Talk to the Sage Envoy.	세이지 파견원과 대화하기.	
QUEST_LV_0500_20200324_000089	The Sage Envoy at the Fallen City is providing Revelators something. Talk to the Sage Envoy.	폐도에 위치한 세이지 파견원이 계시자들에게 무언가를 지급하고 있습니다. 세이지 파견원과 대화하세요.	
QUEST_LV_0500_20200723_000090	We are investigating a recent severe cold wave that happened here.{nl}	저희는 여기서 최근에 일어난 한파 현상에 대해 조사하고 있습니다.{nl}	크루세이더 마스터
QUEST_LV_0500_20200723_000091	Three investigations revealed that the demons beneath this cliff were responsible for the severe cold wave.{nl}	세 차례에 걸친 조사로 이 절벽 아래에 있는 마족이 한파의 원인이라는 건 알아냈습니다.{nl}	크루세이더 마스터
QUEST_LV_0500_20200723_000092	Demon's name is..{nl}	마족의 이름은..{nl}	크루세이더 마스터
QUEST_LV_0500_20200723_000093	Glacia.{nl}	글레이시어.{nl}	크루세이더 마스터
QUEST_LV_0500_20200723_000094	It was a demon called Glacia.{nl}We also found a black crystal floating on a special device.{nl}Not sure what it is, but it was condensing strong magical power.{nl}	글레이시어라고 하는 마족입니다.{nl}그리고 특별한 장치 위에 떠 있는 검은 수정도 발견했습니다.{nl}정체가 확실하지는 않지만, 강한 마력을 응축하고 있었습니다.{nl}	크루세이더 마스터
