QUEST_LV_0500_20190513_000001	如果必須有人去做這件事，我希望是別人。{nl}為什麼偏偏要讓我做這種事呢？	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20200723_000186	完成分析溶液的委託了。{nl}請回去將克魯比那溶液交還給東征十字軍派遣員。	용액의 분석 의뢰를 완료했습니다.{nl}크루세이더 파견원에게 돌아가 크루비나 용액을 돌려주세요.				
QUEST_LV_0500_20200723_000187	東征十字軍派遣員說，克魯比那溶液之後的相關調查就交給他們了。{nl}請與派遣員對話，看有沒有其他需要幫忙的事情。	크루세이더 파견원은 크루비나 용액에 대한 이후 조사는 자신들이 맡겠다고 했습니다.{nl}파견원과 다시 이야기해서 도울 일이 있는지 물어보세요.				
QUEST_LV_0500_20200723_000188	去找史圖卡斯分隊長阿德斯。	스토가스 분대장 아데스 찾아가기.				
QUEST_LV_0500_20200723_000189	東征十字軍派遣員說，有人在一個地方看到可能是格萊伊希歐的人。{nl}請去找史圖卡斯高原野營地地區的史圖卡斯分隊長阿德斯，聽一聽相關的故事吧。	크루세이더 파견원은 글레이시어로 추정되는 인물이 목격된 장소가 있다고 합니다.{nl}스토가스 고원의 야영지 지역에 있는 스토가스 분대장 아데스를 찾아가 관련된 이야기를 들어보세요.				
QUEST_LV_0500_20200723_000190	去找高原士兵莫提爾。	고원병사 모티머 찾아가기.				
QUEST_LV_0500_20200723_000191	從阿德斯那裡聽到了有個女人可能是格萊伊希歐的事情。{nl}為了打聽詳細的事情，請去找高原士兵莫提爾吧。{nl}	아데스로부터 글레이시어로 추정되는 여인의 이야기를 들었습니다.{nl}자세한 이야기를 듣기 위해 고원병사 모티머를 찾아세요.{nl}				
QUEST_LV_0500_20200723_000192	與高原士兵莫提爾對話。	고원병사 모티머와 대화하기.				
QUEST_LV_0500_20200723_000193	向高原士兵莫提爾打聽有個女人可能是格萊伊希歐的相關事情吧。	고원병사 모티머에게 글레이시어로 추정되는 여인에 대한 이야기를 들으세요.				
QUEST_LV_0500_20200723_000194	調查案發地點。	사건 장소 조사하기.				
QUEST_LV_0500_20200723_000195	在高原士兵莫提爾處理完自己事情的期間，去調查發現女人的場所吧。	고원병사 모티머가 자신의 일을 마무리하는 동안 여인이 발견되었던 장소를 조사해 보세요.				
QUEST_LV_0500_20200723_000196	回去找高原士兵莫提爾。	고원병사 모티머에게 돌아가기.				
QUEST_LV_0500_20200723_000197	在案發現場發現了克魯比那溶液，並從怪物的身上找到了腳鐐。{nl}請回去向高原士兵莫提爾報告調查結果，並詢問事情的原委。	사건 현장에서 크루비나 용액을 발견했고, 몬스터로 부터 족쇄를 찾을 수 있었습니다.{nl}고원병사 모티머에게 돌아가 조사 결과를 보여주고 사건의 경위에 대해 물어보세요.				
QUEST_LV_0500_20200723_000198	失物回收	유실된 물건 회수				
QUEST_LV_0500_20200723_000199	將磨損的腳鐐交給東征十字軍派遣員。	크루세이더 파견원에게 닳고 닳은 족쇄 전해주기.				
QUEST_LV_0500_20200723_000200	結束了在野營地的調查。{nl}請回去向東征十字軍派遣員報告調查結果吧。	야영지에서의 조사를 끝냈습니다.{nl}크루세이더 파견원에게 돌아가 조사 결과를 알려주세요.				
QUEST_LV_0500_20200723_000201	為了繼續調查，請與東征十字軍派遣員交談。	조사를 지속하기 위해 크루세이더 파견원과 이야기를 나누세요.				
QUEST_LV_0500_20200723_000202	在白魔女森林裡進行調查。	하얀 마녀의 숲에서 조사를 진행하기.				
QUEST_LV_0500_20200723_000203	東征十字軍派遣員猜說，這件事情一定有幕後兇手。{nl}請在白魔女森林裡調查格萊伊希歐的痕跡。	크루세이더 파견원은 이 일의 배후가 있을 것임을 짐작했습니다.{nl}하얀 마녀의 숲에서 글레이시어의 흔적을 조사하세요.				
QUEST_LV_0500_20200723_000204	將這些信件交給東征十字軍派遣員。	크루세이더 파견원에게 편지 뭉치를 전달하기.				
QUEST_LV_0500_20200723_000205	請將在白魔女森林裡發現的東西交給東征十字軍派遣員。	크루세이더 파견원에게 하얀 마녀의 숲에서 발견한 것들을 가져다주세요.				
QUEST_LV_0500_20200723_000206	與東征十字軍大師對話。	크루세이더 마스터와 대화하기.				
QUEST_LV_0500_20200723_000207	東征十字軍大師約皮亞艾列諾拉好像有話要說。{nl}請與她對話。	크루세이더 마스터 조피아 엘레노라가 할말이 있는 듯 합니다.{nl}그녀와 대화하세요.				
QUEST_LV_0500_20200723_000208	去找東征十字軍派遣員。	크루세이더 파견원을 찾아가기.				
QUEST_LV_0500_20200723_000209	請去找正在調查史圖卡斯高原異常寒流的東征十字軍派遣員。	스토가스 고원의 이상 한파를 조사하고 있는 크루세이더 파견원에게 찾아가세요.				
QUEST_LV_0500_20200723_000210	對路巴斯克絕壁發生的異常寒流進行調查。	누바스크 절벽에서 나타나는 이상 한파에 대해 조사하기.				
QUEST_LV_0500_20200723_000211	對路巴斯克絕壁發生的異常寒流現象進行調查後，並將結果告訴東征十字軍派遣員。	누바스크 절벽에서 이상 한파 현상에 대해 조사하고 결과를 크루세이더 파견원에게 들려주세요.				
QUEST_LV_0500_20200723_000212	將異常寒流的相關調查結果告訴東征十字軍派遣員。	이상 한파에 대한 조사 결과를 크루세이더 파견원에게 알려주세요.				
QUEST_LV_0500_20200902_000213	你來了啊？{nl}為了請求啟示者的協助，才叫你過來的。	오셨습니까?{nl}협조를 부탁드리려고 계시자님을 불렀습니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000214	你曾對格萊伊希歐進行過調查，我想應該沒有人比你更接近這件事情的真相才對。{nl}請問你能協助調查嗎？	글레이시어에 대한 조사를 진행하신 적이 있으시니, 아무래도 계시자님만큼 이 사건의 진상에 가까이 다가간 사람은 없을 거로 생각합니다.{nl}조사에 협조해 주실 수 있으십니까?				크루세이더 마스터
QUEST_LV_0500_20200902_000215	謝謝你的協助。{nl}給你的這個東西是從格萊伊希歐的衣服中掉出來的飾品。{nl}有必要去調查一下格萊伊希歐是如何從魔族手中守住自己的性命後來到了這裡。	협조에 감사드립니다.{nl}계시자님께 드린 물건은 글레이시어의 옷에서 떨어져 나온 장신구입니다.{nl}글레이시어가 어떻게 이곳까지 마족으로부터 목숨을 지킬 수 있었는지 알아볼 필요가 있습니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000216	請將這個飾品拿去給魔族看看，然後觀察魔族的反應。	그 장신구를 마족에게 보여주고 반응을 살펴봐 주십시오.				크루세이더 마스터
QUEST_LV_0500_20200902_000217	謝謝你的協助。{nl}請將閃亮的晶球拿去給魔族看看，然後觀察魔族的反應。	협조에 감사드립니다.{nl}반짝이는 구슬을 마족에게 보여주고 반응을 살펴봐 주십시오.				크루세이더 마스터
QUEST_LV_0500_20200902_000218	你回來了啊？	돌아오셨습니까?				크루세이더 마스터
QUEST_LV_0500_20200902_000219	你說魔族因為害怕而逃跑了嗎？{nl}雖然格萊伊希歐是很強大的魔族…但她經過這裡的時候，當時還只是個人類而已。	마족이 겁에 질려 도망갔다고요?{nl}글레이시어가 강력한 마족인 건 사실이지만.. 그녀가 여기를 지날 때는 아직 인간이었을 때입니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000220	那麼…很有可能這件事情與格萊伊希歐以上的其他魔族有關。	그렇다면.. 글레이시어 이상의 다른 마족이 이 사건과 연관되어 있을 가능성이 크군요.				크루세이더 마스터
QUEST_LV_0500_20200902_000221	上次我們派遣員在岩壁上的樹根附近發現到沾有克魯比那溶液的可疑的碎片。{nl}為了保存現場，所以沒有去碰它。	지난번 저희 파견원이 암벽에 있는 나무뿌리 근처에서 크루비나 용액이 묻은 수상한 조각을 봤다고 하더군요.{nl}현장 보존을 위해 건들지는 않았습니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000222	我會親自調查那個碎片，請你先去尋找可疑的碎片，協助準備調查。	제가 직접 그 조각을 조사할 테니 계시자님 께서는 수상한 조각을 찾아 조사를 준비해 주세요.				크루세이더 마스터
QUEST_LV_0500_20200902_000223	從左邊階梯下去，一直往前走，可以在岩壁和樹根之間發現可疑的碎片。{nl}請你先去協助準備調查。	수상한 조각은 왼쪽 계단 아래로 내려가, 그대로 가시다 보면 암벽과 나무뿌리 사이에 있습니다.{nl}계시자님께서 먼저 가서 조사를 준비해주십시오.				크루세이더 마스터
QUEST_LV_0500_20200902_000224	不知道該如何跟你說...{nl}先從結論來說的話…	어떻게 말씀을 드려야 할지..{nl}결론부터 말씀드리자면..				크루세이더 마스터
QUEST_LV_0500_20200902_000225	這塊碎片經過了很長的時間，因此蘊含著魔族的力量。{nl}這股力量比我之前所遇到的任何魔族都還要強大。{nl}格萊伊希歐有可能…	이 조각에는 오랜 시간에 걸쳐 마족의 힘이 배어있습니다.{nl}제가 마주쳤던 그 어떤 마족보다도 더욱 강한 힘이군요.{nl}어쩌면 글레이시어는..				크루세이더 마스터
QUEST_LV_0500_20200902_000226	跟這股力量的主人相比，如果說格萊伊希歐是根本不值得擔心的程度，你會相信嗎？	이 힘의 주인에 비하면 글레이시어는 큰 걱정거리가 아닌 수준이라면 믿으시겠습니까?				크루세이더 마스터
QUEST_LV_0500_20200902_000227	多虧了啟示者的協助，調查才進展的這麼快。	계시자님의 협조 덕분에 조사가 빠르게 진척되고 있습니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000228	雖然有點麻煩，但為了證明格萊伊希歐的幕後凶手，需要有更確切的證據。	번거롭게도.. 글레이시어의 배후를 증명해내기 위해서는 더 확실한 증거가 필요합니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000229	上次你說發現格萊伊希歐的信件的地方是在絕壁下方嗎？{nl}希望你能過去那裡，再次確認一下，看是否有錯過的證據。	지난번 글레이시어의 편지를 발견한 곳이 절벽 아래라고 하셨죠?{nl}그곳에 가서 그때 놓친 증거가 없는 지, 다시 확인해주셨으면 합니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000230	請調查白魔女森林。	하얀 마녀의 숲을 조사해주시길 바랍니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000231	如果是指令書的話，那就是確切的證據了。{nl}還寫著格萊伊希歐的名字呢。	지령서라면 확실한 증거입니다.{nl}글레이시어의 이름까지 적혀있군요.				크루세이더 마스터
QUEST_LV_0500_20200902_000232	但是為什麼要用人類的語言來書寫呢？{nl}從碎片中感受到的力量確實是魔族的力量。	그렇지만 어째서 인간의 언어로 적혀있을까요?{nl}조각에서 느꼈던 힘은 마족의 힘이 분명했습니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000233	看來牠是想告訴我們自己的存在。	우리에게 자신의 존재를 알리고 싶어 하는군요.				크루세이더 마스터
QUEST_LV_0500_20200902_000234	已經確定有幕後凶手的存在了。{nl}在啟示者前往絕壁下方的時候，為了調查碎片，我有向王國請求協助。	배후가 있다는 증거는 확실해졌습니다.{nl}계시자님께서 절벽 아래로 내려가 있는 동안, 저는 조각을 조사하기 위해 왕국에 협조를 요청했습니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000235	王國說如果是魔族的力量的話，有一個人是最了解的。{nl}請將碎片交給冉達大師烏歐里歐斯瓦西德。{nl}雖然不是很滿意，但這是王國的命令。	왕국에서는 마족의 힘이라면 가장 잘 알만한 사람이 있다고 하더군요.{nl}랑다 마스터인 우올리오스 와히드에게 조각을 전해주십시오.{nl}탐탁지는 않지만.. 왕국의 명령입니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000236	那麼就拜託你了。{nl}將碎片轉交之後，就沒有需要啟示者幫助的其他事情了。	그럼 부탁드립니다.{nl}그 조각만 전해주신다면 계시자님께서 도와주실 일은 더 없습니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000237	啟示者，謝謝你的幫助。	계시자님, 도와주셔서 감사했습니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000238	格萊伊希歐卡希米拉。{nl}這是格萊伊希歐還是人類時的名字。	글레이시어 카시밀라.{nl}글레이시어가 인간이었을 때의 이름입니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000239	你來了啊。{nl}事情我已經聽說了。	오셨군요.{nl}이야기는 미리 들었습니다.				랑다 마스터
QUEST_LV_0500_20200902_000240	很強大的氣息啊。{nl}如果沒有東征十字軍大師的處理，你在來這裡的途中暈倒也不會覺得奇怪。	강한 기운이군요.{nl}크루세이더 마스터님의 조치가 없었더라면, 이곳에 오는 중에 쓰러지셨어도 이상하지 않았을 겁니다.				랑다 마스터
QUEST_LV_0500_20200902_000241	這力量的主人，用這片土地的稱呼，是名叫觀看者的存在。{nl}後續的故事，如果以後有機會的話再告訴你。{nl}這塊碎片就由我們來管理好了。{nl}你能幫我交給旁邊的少女嗎？	이 힘의 주인은 이 땅의 명칭으로 주시자라는 이름의 존재군요.{nl}이 이상의 이야기는 나중에 기회가 된다면 말씀드리죠.{nl}이 조각은 저희가 관리하겠습니다.{nl}저 옆의 소녀에게 주시겠습니까?				랑다 마스터
QUEST_LV_0500_20200902_000242	冉達少女	랑다 소녀				
QUEST_LV_0500_20200902_000243	她年紀還小，對待她時麻煩注意一點。	어린 아이이니 조심히 대해주세요.				랑다 마스터
QUEST_LV_0500_20200902_000244	請勿被捲進次元崩壞和分裂特別傳點裡而喪失性命。{nl}尤其是在分裂特別傳點中要小心地行動，這是一個非常危險的地方。	차원 붕괴와 분열 특이점에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}특히 분열 특이점에서는 행동을 주의하세요. 무척 위험한 장소입니다.	QUEST_LV_0500_20200324_000084	請勿被捲進次元崩壞裡而喪失性命。{nl}如尚未準備妥當，請勿前往靠近。	차원 붕괴에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}준비가 충분하지 않으면 가까이 가지 않는 게 좋습니다.	세이지 파견원
QUEST_LV_0500_20200902_000245	沒做好足夠準備的話，最好是不要去靠近那個地方。請做好萬全準備之後再去靠近。	준비가 충분하지 않으면 가까이 가지 않는 게 좋습니다. 철저한 준비를 하시고 접근하시기 바랍니다. 				세이지 파견원
QUEST_LV_0500_20200902_000246	白魔女和東征十字軍(8)	하얀 마녀와 크루세이더(8)				
QUEST_LV_0500_20200902_000247	協助調查。	조사에 협조한다.				
QUEST_LV_0500_20200902_000248	不想協助調查。	협조하고 싶지 않다.				
QUEST_LV_0500_20200902_000249	白魔女和東征十字軍(9)	하얀 마녀와 크루세이더(9)				
QUEST_LV_0500_20200902_000250	我會做好準備的。	준비해 두겠다고 한다.				
QUEST_LV_0500_20200902_000251	我想要之後再去。	나중에 가자고 한다.				
QUEST_LV_0500_20200902_000252	白魔女和東征十字軍(10)	하얀 마녀와 크루세이더(10)				
QUEST_LV_0500_20200902_000253	現在有點困難。	지금은 어렵다고 한다.				
QUEST_LV_0500_20200902_000254	白魔女和東征十字軍(11)	하얀 마녀와 크루세이더(11)				
QUEST_LV_0500_20200902_000255	我會幫你轉達的。	전해주겠다고 말한다.				
QUEST_LV_0500_20200902_000256	我無法幫助你。	도울수 없다고 한다.				
QUEST_LV_0500_20200902_000257	白魔女和東征十字軍(12)	하얀 마녀와 크루세이더(12)				
QUEST_LV_0500_20200902_000258	我不想再參與這件事了。	더 이상 관여하고 싶지 않다고 한다.				
QUEST_LV_0500_20200902_000259	尋訪東征十字軍大師。	크루세이더 마스터를 찾아가기.				
QUEST_LV_0500_20200902_000260	東征十字軍大師好像有話要對你說。{nl}請去找她問看看是什麼事情。	크루세이더 마스터가 당신에게 할 말이 있는 듯 합니다.{nl}그녀를 찾아가 무슨 일인지 물어보세요.				
QUEST_LV_0500_20200902_000261	對怪物使用格萊伊希歐的隨身物品。	글레이시어의 소지품을 몬스터에게 사용하기.				
QUEST_LV_0500_20200902_000262	按照東征十字軍大師的要求，將格萊伊希歐的隨身物品拿去給怪物們看看。	크루세이더 마스터의 요청대로, 글레시이어의 소지품을 몬스터들에게 보여주세요.				
QUEST_LV_0500_20200902_000263	向東征十字軍大師報告調查結果。	조사 결과를 크루세이더 마스터에게 보고하기.				
QUEST_LV_0500_20200902_000264	將格萊伊希歐的隨身物品給怪物看過之後，怪物們就驚慌失措地跑掉了！{nl}請向東征十字軍大師報告調查結果。	글레시이서의 소지품을 몬스터에게 보여주니, 몬스터들은 허겁지겁 달아났습니다!{nl}조사 결과를 크루세이더 마스터에게 알려주세요.				
QUEST_LV_0500_20200902_000265	東征十字軍大師為了接下來的調查，想要尋求協助。{nl}請與東征十字軍大師對話。	크루세이더 마스터가 다음 조사를 위해 협조를 요청하려고 합니다.{nl}크루세이더 마스터와 대화하세요.				
QUEST_LV_0500_20200902_000266	準備調查可疑的碎片。	수상한 조각 조사 준비하기.				
QUEST_LV_0500_20200902_000267	東征十字軍大師從派遣員手中取得了可疑的碎片的相關報告，該碎片推測是由格萊伊西歐所掉落。{nl}請前往有可疑的碎片的地方事先做好準備，以便東征十字軍大師進行調查。	크루세이더 마스터는 파견원으로부터 글레이시어가 흘린 것으로 추정되는 수상한 조각에 대한 보고를 받았습니다.{nl}수상한 조각이 있는 곳으로 가서 크루세이더 마스터가 조사할 수 있도록 미리 준비를 해두세요.				
QUEST_LV_0500_20200902_000268	回去找東征十字軍。	크루세이더 마스터에게 돌아가기.				
QUEST_LV_0500_20200902_000269	東征十字軍大師拿走了可疑的碎片。{nl}請回去找她聽關於調查的結果。	크루세이더 마스터가 수상한 조각을 가져갔습니다.{nl}그녀에게 돌아가 조사 결과에 대해 들어보세요.				
QUEST_LV_0500_20200902_000270	請詢問東征十字軍大師為了接下來的調查所需要的是什麼。	크루세이더 마스터에게 다음 조사를 위해 필요한 건 무엇인지 물어보세요.				
QUEST_LV_0500_20200902_000271	在白魔女森林(傳說)進行調查。	하얀 마녀의 숲(레전드)에서 조사를 진행하기.				
QUEST_LV_0500_20200902_000272	東征十字軍大師說為了確定格萊伊希歐的幕後凶手是魔族，因此需要有更確切的證據。{nl}請回到白魔女森林去查看破掉的袋子。	크루세이더 마스터는 글레이시어의 배후에 있는 마족의 존재를 특정하기 위해서는 더 확실한 증거가 필요하다고 합니다.{nl}하얀 마녀의 숲으로 돌아가 해진 주머니를 살펴보세요.				
QUEST_LV_0500_20200902_000273	請給東征十字軍大師看在破掉的袋子中發現的可疑的指令書。	크루세이더 마스터에게 해진 주머니에서 발견한 의문의 지령서를 보여주세요.				
QUEST_LV_0500_20200902_000274	請詢問東征十字軍大師是否還有需要幫助的事情。	크루세이더 마스터에게 더 도와줄 일은 없는 지 물어보세요.				
QUEST_LV_0500_20200902_000275	尋訪冉達大師。	랑다 마스터를 찾아가기.				
QUEST_LV_0500_20200902_000276	東征十字軍大師對協助調查表示感謝，最後為了對可疑的碎片進行確實的調查，拜託我們去找冉達大師。{nl}請前往莎勒斯修女院尋找冉達大師，詢問有關可疑的碎片。	크루세이더 마스터는 조사에 협력해주어서 고맙다는 말을 전하며, 마지막으로 수상한 조각에 대해서 확실한 조사를 하기 위해 랑다 마스터를 찾아가 달라고했습니다.{nl}살러스 수녀원에 있는 랑다 마스터를 찾아가 수상한 조각에 대해 물어보세요.				
QUEST_LV_0500_20200902_000277	與冉達大師對話。	랑다 마스터와 대화하기.				
QUEST_LV_0500_20200902_000278	請向冉達大師打聽有關可疑的碎片。	랑다 마스터에게 수상한 조각에 대해서 의견을 들으세요.				
QUEST_LV_0500_20200902_000279	將可疑的碎片轉交給冉達少女。	수상한 조각을 랑다 소녀에게 전해주기.				
QUEST_LV_0500_20200902_000280	從冉達大師那裡聽到了可疑的碎片的相關說明。{nl}由於是很危險的物品，因此必須將碎片交給更善於駕馭魔族力量的冉達。{nl}請將碎片轉交給冉達少女。	랑다 마스터에게 수상한 조각에 대한 설명을 들었습니다.{nl}위험한 물건이니 마족의 힘을 다루는 데 더 능숙한 랑다에게 조각을 맡겨야 합니다.{nl}조각을 랑다 소녀에게 전해주세요.				
